Scopus-10-Analyze-Year

"Your query : (TITLE-ABS-KEY(superconductors AND Sn))"


Number of results : 10

"YEAR",
"2025","39"
"2024","44"
"2023","42"
"2022","31"
"2021","34"
"2020","30"
"2019","42"
"2018","36"
"2017","26"
"2016","23"
"2015","27"
"2014","25"
"2013","33"
"2012","21"
"2011","29"
"2010","40"
"2009","34"
"2008","21"
"2007","26"
"2006","32"
"2005","34"
"2004","24"
"2003","22"
"2002","27"
"2001","30"
"2000","31"
"1999","21"
"1998","19"
"1997","24"
"1996","23"
"1995","15"
"1994","21"
"1993","21"
"1992","34"
"1991","31"
"1990","29"
"1989","15"
"1988","14"
"1987","15"
"1986","13"
"1985","19"
"1984","15"
"1983","12"
"1982","9"
"1981","19"
"1980","12"
"1979","16"
"1978","9"
"1977","13"
"1976","7"
"1975","10"
"1974","10"
"1973","3"
"1972","8"
"1971","4"
"1970","3"
"1969","7"
"1968","7"
"1967","8"
"1966","9"
"1965","3"
"1964","6"
"1963","2"
"1962","2"
"1961","2"
"1960","1"
"1957","3"
"1956","2"
"1954","1"
