Scopus-10-Analyze-Year

"Your query : (TITLE-ABS-KEY(superconductors AND Nb))"


Number of results : 10

"YEAR",
"2025","80"
"2024","118"
"2023","127"
"2022","97"
"2021","107"
"2020","101"
"2019","115"
"2018","90"
"2017","91"
"2016","86"
"2015","80"
"2014","96"
"2013","97"
"2012","114"
"2011","105"
"2010","97"
"2009","100"
"2008","98"
"2007","112"
"2006","135"
"2005","104"
"2004","85"
"2003","89"
"2002","98"
"2001","105"
"2000","101"
"1999","71"
"1998","59"
"1997","86"
"1996","81"
"1995","72"
"1994","82"
"1993","80"
"1992","43"
"1991","88"
"1990","57"
"1989","70"
"1988","45"
"1987","89"
"1986","54"
"1985","75"
"1984","49"
"1983","37"
"1982","26"
"1981","51"
"1980","29"
"1979","44"
"1978","32"
"1977","34"
"1976","28"
"1975","41"
"1974","29"
"1973","16"
"1972","28"
"1971","12"
"1970","10"
"1969","14"
"1968","17"
"1967","14"
"1966","17"
"1965","3"
"1964","12"
"1963","1"
"1962","2"
"1961","2"
"1960","1"
