Scopus-10-Analyze-Year

"Your query : (TITLE-ABS-KEY(superconductors AND Ta))"


Number of results : 10

"YEAR",
"2025","18"
"2024","33"
"2023","30"
"2022","20"
"2021","18"
"2020","20"
"2019","16"
"2018","17"
"2017","12"
"2016","9"
"2015","12"
"2014","18"
"2013","8"
"2012","11"
"2011","6"
"2010","9"
"2009","17"
"2008","19"
"2007","14"
"2006","25"
"2005","19"
"2004","22"
"2003","16"
"2002","18"
"2001","16"
"2000","17"
"1999","11"
"1998","7"
"1997","15"
"1996","18"
"1995","14"
"1994","16"
"1993","8"
"1992","11"
"1991","19"
"1990","8"
"1989","7"
"1988","12"
"1987","9"
"1986","5"
"1985","5"
"1984","7"
"1983","5"
"1982","6"
"1981","5"
"1980","3"
"1979","4"
"1978","2"
"1977","2"
"1976","3"
"1975","2"
"1974","8"
"1973","1"
"1972","2"
"1971","3"
"1970","3"
"1969","5"
"1968","6"
"1967","2"
"1966","1"
"1965","2"
"1964","3"
"1962","1"
"1961","1"
"1960","1"
"1957","1"
